,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
319,MAY 14,Zach Eflin,6.0,7,4,1,9,1,0,0,0,13
320,MAY 14,MacKenzie Gore,--,--,--,--,--,--,--,--,--,
321,MAY 14,Carlos Estevez,0.1,2,1,0,0,0,0,0,0,-3
322,MAY 15,Spencer Strider,--,--,--,--,--,--,--,--,--,
323,MAY 15,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
324,MAY 15,Joe Musgrove,--,--,--,--,--,--,--,--,--,
325,MAY 15,Jhoan Duran,2.0,1,0,0,2,0,0,0,0,7
326,MAY 15,Zach Eflin,--,--,--,--,--,--,--,--,--,
327,MAY 15,MacKenzie Gore,--,--,--,--,--,--,--,--,--,
328,MAY 15,Carlos Estevez,--,--,--,--,--,--,--,--,--,
329,MAY 16,Spencer Strider,--,--,--,--,--,--,--,--,--,
330,MAY 16,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
331,MAY 16,Joe Musgrove,--,--,--,--,--,--,--,--,--,
332,MAY 16,Jhoan Duran,--,--,--,--,--,--,--,--,--,
333,MAY 16,Zach Eflin,--,--,--,--,--,--,--,--,--,
334,MAY 16,Carlos Estevez,--,--,--,--,--,--,--,--,--,
335,MAY 16,Jesus Luzardo,6.0,5,1,1,7,0,0,0,0,17
336,MAY 17,Spencer Strider,5.0,6,4,3,7,0,0,0,0,5
337,MAY 17,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
338,MAY 17,Jhoan Duran,--,--,--,--,--,--,--,--,--,
339,MAY 17,Zach Eflin,--,--,--,--,--,--,--,--,--,
340,MAY 17,MacKenzie Gore,5.1,5,4,2,7,0,1,0,0,6
341,MAY 17,Carlos Estevez,--,--,--,--,--,--,--,--,--,
342,MAY 17,J.P. France,3.2,9,6,2,2,0,0,0,0,-10
343,MAY 18,Spencer Strider,--,--,--,--,--,--,--,--,--,
344,MAY 18,Emmanuel Clase,1.0,1,0,0,1,0,0,1,0,8
345,MAY 18,Jhoan Duran,--,--,--,--,--,--,--,--,--,
346,MAY 18,Zach Eflin,--,--,--,--,--,--,--,--,--,
347,MAY 18,MacKenzie Gore,--,--,--,--,--,--,--,--,--,
348,MAY 18,Carlos Estevez,1.0,2,0,1,2,0,0,1,0,7
349,MAY 18,Dylan Floro,1.0,0,0,1,0,0,0,1,0,7
350,MAY 19,Sandy Alcantara,5.2,5,4,3,5,0,1,0,0,4
351,MAY 19,Spencer Strider,--,--,--,--,--,--,--,--,--,
352,MAY 19,Emmanuel Clase,0.2,4,2,0,1,0,1,0,0,-7
353,MAY 19,Jhoan Duran,--,--,--,--,--,--,--,--,--,
354,MAY 19,MacKenzie Gore,--,--,--,--,--,--,--,--,--,
355,MAY 19,Carlos Estevez,1.0,0,0,0,2,0,0,1,0,10
356,MAY 19,Dylan Floro,--,--,--,--,--,--,--,--,--,
357,MAY 20,Spencer Strider,--,--,--,--,--,--,--,--,--,
358,MAY 20,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
359,MAY 20,Joe Musgrove,5.0,6,4,1,6,0,1,0,0,4
360,MAY 20,Jhoan Duran,1.0,1,0,0,3,0,0,0,0,5
361,MAY 20,Zach Eflin,7.0,4,3,0,8,1,0,0,0,21
362,MAY 20,Carlos Estevez,--,--,--,--,--,--,--,--,--,
363,MAY 20,Dylan Floro,1.1,0,0,0,2,0,0,1,0,11
364,MAY 21,Spencer Strider,--,--,--,--,--,--,--,--,--,
365,MAY 21,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
366,MAY 21,Jhoan Duran,--,--,--,--,--,--,--,--,--,
