,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
460,JUNE 3,Josh Sborz,2.0,0,0,0,2,1,0,0,0,10.0
462,JUNE 4,Emmanuel Clase,1.0,1,0,1,2,0,0,1,0,8.0
465,JUNE 4,Carlos Estevez,1.1,0,0,1,0,0,0,1,0,8.0
466,JUNE 4,Bobby Miller,6.0,1,0,2,7,0,0,0,0,22.0
477,JUNE 6,Joe Musgrove,5.0,4,1,1,8,0,0,0,0,16.0
478,JUNE 6,Zach Eflin,6.2,3,0,1,9,1,0,0,0,27.0
479,JUNE 6,Carlos Estevez,1.0,2,0,0,2,0,0,1,0,8.0
480,JUNE 6,Tony Gonsolin,5.0,5,3,3,5,0,0,0,0,6.0
481,JUNE 6,Dane Dunning,5.2,7,4,2,1,1,0,0,0,3.0
483,JUNE 7,Emmanuel Clase,1.0,0,0,1,2,0,0,1,0,9.0
485,JUNE 7,Jhoan Duran,0.0,1,1,0,0,0,1,0,0,-5.0
489,JUNE 7,Mark Leiter Jr.,0.2,2,2,1,2,0,0,0,0,-3.0
490,JUNE 8,Spencer Strider,4.0,8,8,2,8,0,0,0,0,-6.0
494,JUNE 8,Carlos Estevez,1.0,0,0,0,1,0,0,1,0,9.0
498,JUNE 9,Emmanuel Clase,1.0,0,0,0,1,0,0,0,0,4.0
499,JUNE 9,Jhoan Duran,2.0,1,0,2,2,1,0,0,0,7.0
501,JUNE 9,Carlos Estevez,1.0,1,1,1,1,0,0,1,0,5.0
503,JUNE 9,Eury Perez,5.0,5,1,2,6,0,0,0,0,12.0
510,JUNE 10,Bobby Miller,6.0,3,0,3,7,1,0,0,0,21.0
512,JUNE 11,Emmanuel Clase,1.0,0,0,0,2,0,0,0,0,5.0
521,JUNE 12,Zach Eflin,4.2,5,4,2,6,0,1,0,0,3.0
522,JUNE 12,Carlos Estevez,1.0,1,0,1,2,0,0,0,0,3.0
527,JUNE 13,Joe Musgrove,6.0,7,3,1,5,1,0,0,0,11.0
530,JUNE 13,Carlos Estevez,0.2,0,0,0,1,0,0,1,0,8.0
531,JUNE 13,Tony Gonsolin,6.0,2,0,2,6,1,0,0,0,22.0
532,JUNE 14,Spencer Strider,5.0,7,5,2,6,1,0,0,0,4.0
535,JUNE 14,Jhoan Duran,1.0,0,0,0,1,0,0,0,1,6.0
538,JUNE 14,Eury Perez,6.0,2,0,1,6,1,0,0,0,23.0
540,JUNE 15,Emmanuel Clase,1.1,0,0,1,1,0,0,1,0,9.0
544,JUNE 15,Carlos Estevez,0.0,0,1,3,0,0,0,0,0,-5.0
556,JUNE 17,Jhoan Duran,1.0,1,0,0,1,0,0,1,0,8.0
557,JUNE 17,Zach Eflin,6.0,4,2,2,5,0,1,0,0,11.0
562,JUNE 18,Joe Musgrove,6.0,6,2,1,1,1,0,0,0,10.0
564,JUNE 18,Carlos Estevez,1.0,0,0,0,1,0,0,1,0,9.0
565,JUNE 18,Tony Gonsolin,5.2,6,7,3,7,0,1,0,0,-1.0
574,JUNE 20,Spencer Strider,6.0,8,1,0,9,1,0,0,0,19.0
575,JUNE 20,Emmanuel Clase,1.0,0,0,0,0,0,0,0,0,3.0
579,JUNE 20,Eury Perez,6.0,3,0,0,9,0,0,0,0,24.0
582,JUNE 21,Emmanuel Clase,1.0,1,0,1,2,0,0,1,0,8.0
583,JUNE 21,Jhoan Duran,2.0,1,1,1,2,0,0,0,0,4.0
587,JUNE 21,Kyle Hendricks,6.1,2,1,3,2,1,0,0,0,16.0
597,JUNE 23,Jhoan Duran,1.0,0,0,1,3,0,0,1,0,10.0
598,JUNE 23,Zach Eflin,6.0,7,3,2,7,1,0,0,0,12.0
601,JUNE 23,Jesus Luzardo,7.0,2,0,1,9,0,0,0,0,27.0
603,JUNE 24,Emmanuel Clase,1.0,1,0,0,2,0,0,1,0,9.0
607,JUNE 24,Bobby Miller,4.0,10,6,3,3,0,0,0,0,-10.0
610,JUNE 25,Emmanuel Clase,1.0,0,0,1,1,0,0,0,0,3.0
611,JUNE 25,Jhoan Duran,1.0,0,0,0,1,0,0,1,0,9.0
613,JUNE 25,Tony Gonsolin,5.0,5,4,1,3,0,0,0,0,4.0
614,JUNE 25,Eury Perez,6.0,4,0,1,9,1,0,0,0,24.0
615,JUNE 25,Yusei Kikuchi,7.0,2,1,2,8,1,0,0,0,25.0
616,JUNE 26,Spencer Strider,7.0,3,1,2,10,1,0,0,0,26.0
619,JUNE 26,Carlos Estevez,1.0,1,0,0,0,1,0,0,0,4.0
623,JUNE 27,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
